"","ativo","base","id","Model","Mean.Hits","Var.Hits"
"1","1 - BVSP - final","train",1,"Adaptive",0.050284034034034,5.7850627902075e-08
"2","1 - BVSP - final","train",2,"symmetricAbs",0.0505337337337337,1.59503862824707e-05
"3","1 - BVSP - final","train",3,"IndirectGARCH",0.053521971971972,1.68310718955357e-05
"4","1 - BVSP - final","train",4,"standardGARCHmu",0.0495302802802803,5.13355332511731e-05
"5","1 - BVSP - final","train",5,"linearGARCH",0.050514964964965,1.59544261019186e-05
"6","1 - BVSP - final","train",6,"linearGARCHmu",0.0680376876876877,6.06935572445967e-05
"7","1 - BVSP - final","train",7,"GJRGARCH",0.0514419419419419,1.48120004170794e-05
"8","1 - BVSP - final","train",8,"GJRGARCHmu",0.0434021021021021,2.79577021194714e-05
"9","1 - BVSP - final","train",9,"linearTGARCH",0.0505205705705706,1.59452477223314e-05
"10","1 - BVSP - final","train",10,"linearTGARCHmu",0.0846447947947948,7.983314063647e-05
"11","1 - BVSP - final","train",11,"TCAV",0.012012012012012,1.05922631518842e-05
"12","1 - BVSP - final","train",12,"rangeValue",0.0511111111111111,9.27016638967838e-05
"13","1 - BVSP - final","train",13,"trigGARCH",0.115396046046046,6.34932944473706e-05
"14","1 - BVSP - final","train",14,"trvGARCH",0.0512292792792793,2.06195448328935e-05
"15","1 - BVSP - final","valid",1,"Adaptive",0.0505526869158879,2.12897400315944e-07
"16","1 - BVSP - final","valid",2,"symmetricAbs",0.0373629672897196,2.34787037190607e-05
"17","1 - BVSP - final","valid",3,"IndirectGARCH",0.0409667056074766,2.69725337629103e-05
"18","1 - BVSP - final","valid",4,"standardGARCHmu",0.0222183411214953,2.6353768425425e-05
"19","1 - BVSP - final","valid",5,"linearGARCH",0.0373580607476635,2.34885824307625e-05
"20","1 - BVSP - final","valid",6,"linearGARCHmu",0.0415988317757009,5.19652663500645e-05
"21","1 - BVSP - final","valid",7,"GJRGARCH",0.0363004672897196,1.98592017730998e-05
"22","1 - BVSP - final","valid",8,"GJRGARCHmu",0.0216626168224299,1.80779749276783e-05
"23","1 - BVSP - final","valid",9,"linearTGARCH",0.037356191588785,2.34878025123542e-05
"24","1 - BVSP - final","valid",10,"linearTGARCHmu",0.0568608644859813,6.78035363465173e-05
"25","1 - BVSP - final","valid",11,"TCAV",0.0298778037383178,2.00165519500092e-05
"26","1 - BVSP - final","valid",12,"rangeValue",0.0234696261682243,2.60960622991923e-05
"27","1 - BVSP - final","valid",13,"trigGARCH",0.0894169392523364,5.52830470534451e-05
"28","1 - BVSP - final","valid",14,"trvGARCH",0.0345498831775701,2.13234982435172e-05
"29","10 - IPSA - final","train",1,"Adaptive",0.0443749249249249,1.97972682529404e-06
"30","10 - IPSA - final","train",2,"symmetricAbs",0.0510634634634635,1.8021292858082e-05
"31","10 - IPSA - final","train",3,"IndirectGARCH",0.0502728228228228,2.81967523829285e-05
"32","10 - IPSA - final","train",4,"standardGARCHmu",0.0502630630630631,5.86045641664974e-05
"33","10 - IPSA - final","train",5,"linearGARCH",0.051058958958959,1.80015658362479e-05
"34","10 - IPSA - final","train",6,"linearGARCHmu",0.0524500500500501,5.9496222647011e-05
"35","10 - IPSA - final","train",7,"GJRGARCH",0.0514702702702703,2.95668873243848e-05
"36","10 - IPSA - final","train",8,"GJRGARCHmu",0.0497610610610611,5.83567053741069e-05
"37","10 - IPSA - final","train",9,"linearTGARCH",0.0512763263263263,1.80788381346386e-05
"38","10 - IPSA - final","train",10,"linearTGARCHmu",0.0667511511511512,7.60683906188282e-05
"39","10 - IPSA - final","train",11,"TCAV",0.0677436936936937,6.14464001651925e-05
"40","10 - IPSA - final","train",12,"rangeValue",0.0501315315315315,0.000285356959909128
"41","10 - IPSA - final","train",13,"trigGARCH",0.108688488488488,0.000116728596475557
"42","10 - IPSA - final","train",14,"trvGARCH",0.0492296296296296,4.35917466629315e-05
"43","10 - IPSA - final","valid",1,"Adaptive",0.0445667056074766,4.71412627741288e-06
"44","10 - IPSA - final","valid",2,"symmetricAbs",0.0369383177570093,1.69156016547008e-05
"45","10 - IPSA - final","valid",3,"IndirectGARCH",0.0311636682242991,2.29614809846195e-05
"46","10 - IPSA - final","valid",4,"standardGARCHmu",0.0239453271028037,2.50901676099042e-05
"47","10 - IPSA - final","valid",5,"linearGARCH",0.0369404205607477,1.69188335330618e-05
"48","10 - IPSA - final","valid",6,"linearGARCHmu",0.0255696261682243,2.30128432446905e-05
"49","10 - IPSA - final","valid",7,"GJRGARCH",0.038201285046729,2.93261523598064e-05
"50","10 - IPSA - final","valid",8,"GJRGARCHmu",0.0239453271028037,2.50901676099042e-05
"51","10 - IPSA - final","valid",9,"linearTGARCH",0.0372817757009346,1.6962523433152e-05
"52","10 - IPSA - final","valid",10,"linearTGARCHmu",0.0332766355140187,3.62890413701572e-05
"53","10 - IPSA - final","valid",11,"TCAV",0.0389224299065421,3.03635687832824e-05
"54","10 - IPSA - final","valid",12,"rangeValue",0.0216386682242991,1.76288843098124e-05
"55","10 - IPSA - final","valid",13,"trigGARCH",0.165742056074766,9.6499512366444e-05
"56","10 - IPSA - final","valid",14,"trvGARCH",0.0611278037383178,7.1376150230046e-05
"57","11 - SPX - final","train",1,"Adaptive",0.0455873373373373,1.57207580367638e-06
"58","11 - SPX - final","train",2,"symmetricAbs",0.0533144644644645,1.19312953257895e-05
"59","11 - SPX - final","train",3,"IndirectGARCH",0.0543052052052052,4.36681580109365e-05
"60","11 - SPX - final","train",4,"standardGARCHmu",0.04445,5.80095565200669e-05
"61","11 - SPX - final","train",5,"linearGARCH",0.0533481981981982,1.19166759837011e-05
"62","11 - SPX - final","train",6,"linearGARCHmu",0.0489353353353353,8.81409567651721e-05
"63","11 - SPX - final","train",7,"GJRGARCH",0.0537813813813814,9.47548103449754e-06
"64","11 - SPX - final","train",8,"GJRGARCHmu",0.0471605105105105,7.34835251706369e-05
"65","11 - SPX - final","train",9,"linearTGARCH",0.0528870870870871,1.1906462911739e-05
"66","11 - SPX - final","train",10,"linearTGARCHmu",0.0694751751751752,0.000122516346974962
"67","11 - SPX - final","train",11,"TCAV",0.0423740740740741,2.05629097274393e-05
